host_name,planet_letter,planet_name,num_planets_in_system,discovery_year,num_moons,link_to_wiki
HAT-P-19,b,HAT-P-19 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-19_b/
HAT-P-2,b,HAT-P-2 b,1,2007,0,http://exoplanet.eu/catalog/hat-p-2_b/
HAT-P-20,b,HAT-P-20 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-20_b/
HAT-P-21,b,HAT-P-21 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-21_b/
HAT-P-22,b,HAT-P-22 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-22_b/
HAT-P-23,b,HAT-P-23 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-23_b/
HAT-P-24,b,HAT-P-24 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-24_b/
HAT-P-25,b,HAT-P-25 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-25_b/
HAT-P-26,b,HAT-P-26 b,1,2010,0,http://exoplanet.eu/catalog/hat-p-26_b/
HAT-P-27,b,HAT-P-27 b,1,2011,0,http://exoplanet.eu/catalog/hat-p-27_b/
HAT-P-28,b,HAT-P-28 b,1,2011,0,http://exoplanet.eu/catalog/hat-p-28_b/
HAT-P-29,b,HAT-P-29 b,1,2011,0,http://exoplanet.eu/catalog/hat-p-29_b/
HAT-P-3,b,HAT-P-3 b,1,2007,0,http://exoplanet.eu/catalog/hat-p-3_b/
HAT-P-30,b,HAT-P-30 b,1,2011,0,http://exoplanet.eu/catalog/hat-p-30_b/
HAT-P-31,b,HAT-P-31 b,1,2011,0,http://exoplanet.eu/catalog/hat-p-31_b/
HAT-P-32,b,HAT-P-32 b,1,2011,0,http://exoplanet.eu/catalog/hat-p-32_b/
HAT-P-33,b,HAT-P-33 b,1,2011,0,http://exoplanet.eu/catalog/hat-p-33_b/
HAT-P-34,b,HAT-P-34 b,1,2011,0,http://exoplanet.eu/catalog/hat-p-34_b/
HAT-P-35,b,HAT-P-35 b,1,2011,0,http://exoplanet.eu/catalog/hat-p-35_b/
HAT-P-36,b,HAT-P-36 b,1,2011,0,http://exoplanet.eu/catalog/hat-p-36_b/
